ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
275	1	49.08	64.83	71.12	7.75	0	1	1	1	0
276	1	11.39	37.19	35.15	7.75	0	1	1	1	0
277	1	24.58	48.90	58.77	7.75	0	1	1	1	0
278	1	24.58	48.90	58.77	7.75	0	1	1	1	0
279	1	37.61	60.26	55.13	7.75	0	1	1	1	0
280	1	37.61	60.26	55.13	7.75	0	1	1	1	0
281	1	37.61	60.26	55.13	7.75	0	1	1	1	0
282	1	37.61	60.26	55.13	7.75	0	1	1	1	0
283	1	37.61	60.26	55.13	7.75	0	1	1	1	0
284	1	37.61	60.26	55.13	7.75	0	1	1	1	0
285	1	37.61	60.26	55.13	7.75	0	1	1	1	0
286	1	37.61	60.26	55.13	7.75	0	1	1	1	0
287	1	37.61	60.26	55.13	7.75	0	1	1	1	0
288	1	42.80	66.83	70.38	7.75	0	1	1	1	0
289	1	42.80	66.83	70.38	7.75	0	1	1	1	0
290	1	42.80	66.83	70.38	7.75	0	1	1	1	0
291	1	42.80	66.83	70.38	7.75	0	1	1	1	0
292	1	42.80	66.83	70.38	7.75	0	1	1	1	0
293	1	42.80	66.83	70.38	7.75	0	1	1	1	0
294	1	42.80	66.83	70.38	7.75	0	1	1	1	0
295	1	42.80	66.83	70.38	7.75	0	1	1	1	0
296	1	42.80	66.83	70.38	7.75	0	1	1	1	0
297	1	25.60	48.37	73.22	7.75	0	1	1	1	0
298	1	25.60	48.37	73.22	7.75	0	1	1	1	0
299	1	25.60	48.37	73.22	7.75	0	1	1	1	0
300	1	29.51	65.62	92.75	7.75	0	1	1	1	0
301	1	38.30	77.86	101.33	7.75	0	1	1	1	0
302	1	33.84	68.44	73.08	7.75	0	1	1	1	0
303	1	33.84	68.44	73.08	7.75	0	1	1	1	0
304	1	33.84	68.44	73.08	7.75	0	1	1	1	0
305	1	33.84	68.44	73.08	7.75	0	1	1	1	0
306	1	33.84	68.44	73.08	7.75	0	1	1	1	0
307	1	33.84	68.44	73.08	7.75	0	1	1	1	0
308	1	33.84	68.44	73.08	7.75	0	1	1	1	0
309	1	33.84	68.44	73.08	7.75	0	1	1	1	0
310	1	33.84	68.44	73.08	7.75	0	1	1	1	0
311	1	33.84	68.44	73.08	7.75	0	1	1	1	0
312	1	46.91	68.04	65.05	7.75	0	1	1	1	0
313	1	46.91	68.04	65.05	7.75	0	1	1	1	0
314	1	46.91	68.04	65.05	7.75	0	1	1	1	0
315	1	46.91	68.04	65.05	7.75	0	1	1	1	0
316	1	46.91	68.04	65.05	7.75	0	1	1	1	0
317	1	46.91	68.04	65.05	7.75	0	1	1	1	0
318	1	46.91	68.04	65.05	7.75	0	1	1	1	0
319	1	46.91	68.04	65.05	7.75	0	1	1	1	0
320	1	46.91	68.04	65.05	7.75	0	1	1	1	0
321	1	46.91	68.04	65.05	7.75	0	1	1	1	0
322	1	29.35	68.65	96.00	7.75	0	1	1	1	0
323	1	29.35	68.65	96.00	7.75	0	1	1	1	0
324	1	29.35	68.65	96.00	7.75	0	1	1	1	0
325	1	29.35	68.65	96.00	7.75	0	1	1	1	0
326	1	29.35	68.65	96.00	7.75	0	1	1	1	0
327	1	29.35	68.65	96.00	7.75	0	1	1	1	0
328	1	29.35	68.65	96.00	7.75	0	1	1	1	0
329	1	29.35	68.65	96.00	7.75	0	1	1	1	0
330	1	39.88	68.49	74.75	7.75	0	1	1	1	0
331	1	39.88	68.49	74.75	7.75	0	1	1	1	0
332	1	39.88	68.49	74.75	7.75	0	1	1	1	0
333	1	39.88	68.49	74.75	7.75	0	1	1	1	0
334	1	39.88	68.49	74.75	7.75	0	1	1	1	0
335	1	39.88	68.49	74.75	7.75	0	1	1	1	0
336	1	39.88	68.49	74.75	7.75	0	1	1	1	0
337	1	39.88	68.49	74.75	7.75	0	1	1	1	0
338	1	39.88	68.49	74.75	7.75	0	1	1	1	0
339	1	39.88	68.49	74.75	7.75	0	1	1	1	0
340	1	39.88	68.49	74.75	7.75	0	1	1	1	0
341	1	39.88	68.49	74.75	7.75	0	1	1	1	0
342	1	39.88	68.49	74.75	7.75	0	1	1	1	0
343	1	39.88	68.49	74.75	7.75	0	1	1	1	0
344	1	28.77	44.54	43.25	7.75	0	1	1	1	0
345	1	28.77	44.54	43.25	7.75	0	1	1	1	0
346	1	37.28	68.68	77.38	7.75	0	1	1	1	0
347	1	37.28	68.68	77.38	7.75	0	1	1	1	0
348	1	37.28	68.68	77.38	7.75	0	1	1	1	0
349	1	46.38	68.28	50.02	7.75	0	1	1	1	0
350	1	46.38	68.28	50.02	7.75	0	1	1	1	0
351	1	46.38	68.28	50.02	7.75	0	1	1	1	0
352	1	46.38	68.28	50.02	7.75	0	1	1	1	0
353	1	46.38	68.28	50.02	7.75	0	1	1	1	0
354	1	46.38	68.28	50.02	7.75	0	1	1	1	0
355	1	46.38	68.28	50.02	7.75	0	1	1	1	0
356	1	46.38	68.28	50.02	7.75	0	1	1	1	0
357	1	46.38	68.28	50.02	7.75	0	1	1	1	0
358	1	46.38	68.28	50.02	7.75	0	1	1	1	0
359	1	46.38	68.28	50.02	7.75	0	1	1	1	0
360	1	46.38	68.28	50.02	7.75	0	1	1	1	0
361	1	46.38	68.28	50.02	7.75	0	1	1	1	0
362	1	46.38	68.28	50.02	7.75	0	1	1	1	0
363	1	38.82	64.11	77.08	7.75	0	1	1	1	0
364	1	38.82	64.11	77.08	7.75	0	1	1	1	0
365	1	38.82	64.11	77.08	7.75	0	1	1	1	0
366	1	14.27	35.09	69.72	7.75	0	1	1	1	0
367	1	45.64	64.62	70.65	7.75	0	1	1	1	0
368	1	45.64	64.62	70.65	7.75	0	1	1	1	0
369	1	45.64	64.62	70.65	7.75	0	1	1	1	0
370	1	32.31	47.07	75.93	7.75	0	1	1	1	0
371	1	47.26	63.62	72.18	7.75	0	1	1	1	0
372	1	47.26	63.62	72.18	7.75	0	1	1	1	0
373	1	47.26	63.62	72.18	7.75	0	1	1	1	0
374	1	47.26	63.62	72.18	7.75	0	1	1	1	0
375	1	47.26	63.62	72.18	7.75	0	1	1	1	0
376	1	47.26	63.62	72.18	7.75	0	1	1	1	0
377	1	47.26	63.62	72.18	7.75	0	1	1	1	0
378	1	28.17	44.51	60.30	7.75	0	1	1	1	0
379	1	23.01	37.59	50.53	7.75	0	1	1	1	0
380	1	23.01	37.59	50.53	7.75	0	1	1	1	0
381	1	23.01	37.59	50.53	7.75	0	1	1	1	0
382	1	20.37	54.89	54.23	7.75	0	1	1	1	0
383	1	31.08	69.88	87.90	7.75	0	1	1	1	0
384	1	31.08	69.88	87.90	7.75	0	1	1	1	0
385	1	31.08	69.88	87.90	7.75	0	1	1	1	0
386	1	49.68	66.30	72.33	7.75	0	1	1	1	0
387	1	49.68	66.30	72.33	7.75	0	1	1	1	0
388	1	49.68	66.30	72.33	7.75	0	1	1	1	0
389	1	49.68	66.30	72.33	7.75	0	1	1	1	0
390	1	38.81	73.00	99.77	7.75	0	1	1	1	0
391	1	38.81	73.00	99.77	7.75	0	1	1	1	0
392	1	39.78	63.26	72.58	7.75	0	1	1	1	0
393	1	39.78	63.26	72.58	7.75	0	1	1	1	0
394	1	39.78	63.26	72.58	7.75	0	1	1	1	0
395	1	39.78	63.26	72.58	7.75	0	1	1	1	0
396	1	39.78	63.26	72.58	7.75	0	1	1	1	0
397	1	39.78	63.26	72.58	7.75	0	1	1	1	0
398	1	32.39	68.13	83.83	7.75	0	1	1	1	0
399	1	32.39	68.13	83.83	7.75	0	1	1	1	0
400	1	32.39	68.13	83.83	7.75	0	1	1	1	0
401	1	32.39	68.13	83.83	7.75	0	1	1	1	0
402	1	32.39	68.13	83.83	7.75	0	1	1	1	0
403	1	32.39	68.13	83.83	7.75	0	1	1	1	0
404	1	32.39	68.13	83.83	7.75	0	1	1	1	0
405	1	32.39	68.13	83.83	7.75	0	1	1	1	0
406	1	16.59	33.01	71.28	7.75	0	1	1	1	0
407	1	37.01	63.72	52.98	7.75	0	1	1	1	0
408	1	25.86	40.05	67.32	7.75	0	1	1	1	0
409	1	25.86	40.05	67.32	7.75	0	1	1	1	0
410	1	25.86	40.05	67.32	7.75	0	1	1	1	0
411	1	39.74	67.65	68.62	7.75	0	1	1	1	0
412	1	39.74	67.65	68.62	7.75	0	1	1	1	0
413	1	39.74	67.65	68.62	7.75	0	1	1	1	0
414	1	36.64	68.89	78.70	7.75	0	1	1	1	0
415	1	36.64	68.89	78.70	7.75	0	1	1	1	0
416	1	36.64	68.89	78.70	7.75	0	1	1	1	0
417	1	36.83	68.28	69.77	7.75	0	1	1	1	0
418	1	36.83	68.28	69.77	7.75	0	1	1	1	0
419	1	36.83	68.28	69.77	7.75	0	1	1	1	0
420	1	36.83	68.28	69.77	7.75	0	1	1	1	0
421	1	36.83	68.28	69.77	7.75	0	1	1	1	0
422	1	36.83	68.28	69.77	7.75	0	1	1	1	0
423	1	36.83	68.28	69.77	7.75	0	1	1	1	0
424	1	36.83	68.28	69.77	7.75	0	1	1	1	0
425	1	42.83	68.24	67.88	7.75	0	1	1	1	0
426	1	42.83	68.24	67.88	7.75	0	1	1	1	0
427	1	42.83	68.24	67.88	7.75	0	1	1	1	0
428	1	25.56	52.88	43.87	7.75	0	1	1	1	0
429	1	40.13	65.83	78.90	7.75	0	1	1	1	0
430	1	40.13	65.83	78.90	7.75	0	1	1	1	0
431	1	40.13	65.83	78.90	7.75	0	1	1	1	0
432	1	40.13	65.83	78.90	7.75	0	1	1	1	0
433	1	40.13	65.83	78.90	7.75	0	1	1	1	0
434	1	34.47	57.79	78.98	7.75	0	1	1	1	0
435	1	34.47	57.79	78.98	7.75	0	1	1	1	0
436	1	28.38	50.67	40.22	7.75	0	1	1	1	0
437	1	28.38	50.67	40.22	7.75	0	1	1	1	0
438	1	45.88	65.15	76.17	7.75	0	1	1	1	0
439	1	45.88	65.15	76.17	7.75	0	1	1	1	0
440	1	45.00	68.32	54.67	7.75	0	1	1	1	0
441	1	45.00	68.32	54.67	7.75	0	1	1	1	0
442	1	45.00	68.32	54.67	7.75	0	1	1	1	0
443	1	39.65	68.63	83.62	7.75	0	1	1	1	0
444	1	39.65	68.63	83.62	7.75	0	1	1	1	0
445	1	17.11	29.05	38.32	7.75	0	1	1	1	0
446	1	17.11	29.05	38.32	7.75	0	1	1	1	0
447	1	17.11	29.05	38.32	7.75	0	1	1	1	0
448	1	17.11	29.05	38.32	7.75	0	1	1	1	0
449	1	17.11	29.05	38.32	7.75	0	1	1	1	0
450	1	19.22	39.23	42.43	7.75	0	1	1	1	0
451	1	19.22	39.23	42.43	7.75	0	1	1	1	0
452	1	19.22	39.23	42.43	7.75	0	1	1	1	0
453	1	26.60	65.32	90.98	7.75	0	1	1	1	0
454	1	39.09	60.05	76.72	7.75	0	1	1	1	0
