zipcode,taxi_mean_pickup_longitude,taxi_mean_pickup_latitude,taxi_mean_trip_distance,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,route,driving_distance,duration_in_traffic,driving_duration,transit_duration
11422,-73.74158393,40.64792379,6.51,983.1428571,21.66642857,25.7734758,14,Rockaway Blvd,5.983181359,918,880,
11426,-73.726034,40.723554,15.3,2142,52.5,62.45180073,1,Belt Pkwy,9.556064609,968,927,3893
11427,-73.74680383,40.72749067,10.20166667,1157.333333,30.5,36.28152233,6,Belt Pkwy,10.83360339,1248,1237,3547
11430,-73.78498646,40.64557925,2.361430299,345.3000273,26.33884125,31.33158219,25631,JFK Access Rd,0.553641561,199,179,1166
11432,-73.79702635,40.71133986,7.331764706,1026.509804,24.42137255,29.05064175,51,I-678 S,7.018385445,1221,1167,2299
11433,-73.794242,40.696396,5.925,847.5,19.625,23.34507789,4,I-678 S,5.771293848,932,911,2544
11434,-73.78008782,40.66829088,3.243088235,474.6029412,12.30147059,14.63331409,68,JFK Expressway,3.187011859,500,485,3089
11435,-73.81499177,40.70157817,6.674939759,832.9186747,40.7463253,48.47012168,332,I-678 S,5.816653931,813,759,2116
11436,-73.79974956,40.67220346,6.209520958,1073.532934,37.84502994,45.01886226,167,I-678 S,3.799683665,548,540,2633
11691,-73.7480925,40.603232,13.925,1650,41.415,49.26554909,2,Rockaway Blvd,8.428897615,1469,1412,3377
,-55.90136281,30.79683808,16.94417135,2310.974719,53.28438436,63.38487151,4272,,,,,
