,MAINMODE,ODTravelTimeToAirport,zipcode,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,transit_duration,ModeGroup
239,Passenger in Car and Dropped Off at Airport,15,11365.0,37.0066666667,53.564,63.7174905577,5,52.9833333333,other
240,Passenger in Car and Dropped Off at Airport,90,11212.0,25.8555555555,33.6666666667,40.0484563409,3,67.3166666667,other
241,Passenger in Car and Dropped Off at Airport,20,11212.0,25.8555555555,33.6666666667,40.0484563409,3,67.3166666667,other
242,Passenger in Car and Dropped Off at Airport,20,11212.0,25.8555555555,33.6666666667,40.0484563409,3,67.3166666667,other
249,Passenger in Car and Dropped Off at Airport,30,11209.0,36.6416666667,57.9164285714,68.8949572592,14,78.7,other
265,Passenger in Car and Dropped Off at Airport,20,11373.0,25.5583333333,44.4564,52.8834711229,250,43.8666666667,other
269,Passenger in Car and Dropped Off at Airport,30,11230.0,34.4666666667,48.5775555556,57.785825133,45,78.9833333333,other
270,Passenger in Car and Dropped Off at Airport,39,11230.0,34.4666666667,48.5775555556,57.785825133,45,78.9833333333,other
271,Passenger in Car and Dropped Off at Airport,30,11230.0,34.4666666667,48.5775555556,57.785825133,45,78.9833333333,other
273,Passenger in Car and Dropped Off at Airport,45,11377.0,28.3826923077,42.598021978,50.672822477,364,40.2166666667,other
275,Passenger in Car and Dropped Off at Airport,30,11204.0,32.89375,52.41625,62.3521752379,8,93.3666666667,other
276,Passenger in Car and Dropped Off at Airport,30,11204.0,32.89375,52.41625,62.3521752379,8,93.3666666667,other
