,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
4278,DAL6185,GJS6185,1465729200.0,1465735800.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4279,AAL4193,LOF4193,1465763100.0,1465769760.0,KCMH,KLGA,E145,,0.0,0.0,50.0
4280,AAL3770,AWI3770,1465736700.0,1465741860.0,KRIC,KLGA,,,0.0,0.0,50.0
4281,AAL4696,RPA4696,1465760700.0,1465767120.0,KRDU,KLGA,E170,,12.0,0.0,64.0
4282,AAL1169,,1465746600.0,1465759320.0,KDFW,KLGA,,,10.0,20.0,72.0
4283,AAL4414,RPA4414,1465734840.0,1465740720.0,KRDU,KLGA,E170,,12.0,0.0,64.0
4284,AAL4044,AWI4044,1465771980.0,1465777800.0,KRIC,KLGA,,,0.0,0.0,50.0
4285,AAL2073,,1465745100.0,1465748580.0,KPHL,KLGA,E190,,0.0,0.0,98.0
4286,DAL5153,ASQ5153,1465772400.0,1465779060.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4287,AAL1986,,1465759800.0,1465763160.0,KPHL,KLGA,E190,,0.0,0.0,98.0
4288,DAL3327,TCF3327,1465765200.0,1465771740.0,KRDU,KLGA,E170,,9.0,0.0,60.0
4289,DAL3873,FLG3873,1465762200.0,1465768320.0,KRDU,KLGA,CRJ9,,0.0,12.0,64.0
4290,AAL2074,,1465777740.0,1465781100.0,KPHL,KLGA,E190,,0.0,0.0,98.0
4291,DAL3752,FLG3752,1465732800.0,1465739340.0,KRDU,KLGA,CRJ9,,0.0,12.0,64.0
4292,DAL2486,,1465735500.0,1465743960.0,KATL,KLGA,MD90,First: Breakfast / Economy: Breakfast,16.0,0.0,144.0
4293,AAL2088,,1465786200.0,1465789200.0,KPHL,KLGA,E190,,0.0,0.0,98.0
4294,WJA7405,GJS6195,1465754400.0,1465760940.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4295,WJA6981,FLG3831,1465738200.0,1465745640.0,KTYS,KLGA,,,0.0,0.0,50.0
4296,WJA6714,GJS6261,1465743600.0,1465750200.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4297,WJA7159,FLG3836,1465768200.0,1465775940.0,KTYS,KLGA,,,0.0,0.0,50.0
4298,AAL1118,,1465754460.0,1465767000.0,KDFW,KLGA,,,10.0,20.0,72.0
4299,DAL3831,FLG3831,1465738200.0,1465745640.0,KTYS,KLGA,,,0.0,0.0,50.0
4300,WJA6305,GJS6185,1465729200.0,1465735800.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4301,DAL3836,FLG3836,1465768200.0,1465775940.0,KTYS,KLGA,,,0.0,0.0,50.0
4302,WJA6718,ASQ5153,1465772400.0,1465779060.0,KRDU,KLGA,CRJ7,,9.0,0.0,56.0
4303,WJA6860,FLG4192,1465761900.0,1465769520.0,KGSP,KLGA,,,0.0,0.0,50.0
4304,WJA7099,TCF3327,1465765200.0,1465771740.0,KRDU,KLGA,E170,,9.0,0.0,60.0
4305,WJA6721,FLG3873,1465762200.0,1465768320.0,KRDU,KLGA,CRJ9,,0.0,12.0,64.0
4306,WJA6717,FLG3752,1465732800.0,1465739340.0,KRDU,KLGA,CRJ9,,0.0,12.0,64.0
4307,DAL4192,FLG4192,1465761900.0,1465769520.0,KGSP,KLGA,,,0.0,0.0,50.0
4308,DAL6263,GJS6263,1465761600.0,1465769220.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
4309,AAL4566,RPA4566,1465758840.0,1465765740.0,KCLT,KLGA,E170,,12.0,0.0,64.0
4310,DAL5302,ASQ5302,1465768500.0,1465776120.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
4311,SWA1779,,1465736700.0,1465744200.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4312,DAL5059,ASQ5059,1465741800.0,1465748280.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
4313,DAL3862,FLG3862,1465776000.0,1465784100.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
4314,AAL138,,1465773000.0,1465785600.0,KDFW,KLGA,,,10.0,20.0,72.0
4315,SWA406,,1465747200.0,1465754400.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4316,DAL3771,FLG3771,1465754220.0,1465761540.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
4317,SWA2926,,1465779300.0,1465787700.0,KATL,KLGA,B737,,0.0,0.0,143.0
4318,SWA1159,,1465754400.0,1465761600.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4319,DAL3747,FLG3747,1465747200.0,1465754580.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
4320,AAL1981,,1465783200.0,1465789500.0,KCLT,KLGA,A319,,8.0,0.0,120.0
4321,SWA1925,,1465760700.0,1465767900.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4322,SWA1930,,1465768500.0,1465776000.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4323,SWA1413,,1465780800.0,1465788300.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4324,SWA165,,1465729200.0,1465737300.0,KMDW,KLGA,B738,,0.0,0.0,175.0
4325,AAL2066,,1465751340.0,1465758000.0,KCLT,KLGA,A320,,0.0,12.0,138.0
4326,AAL262,,1465776300.0,1465789020.0,KDFW,KLGA,,,10.0,20.0,72.0
4327,LNE6193,AAL376,1465779000.0,1465789620.0,KMIA,KLGA,B738,First: No meal / Economy: No meal,16.0,0.0,134.0
4328,BAW5228,AAL1084,1465725900.0,1465736400.0,KMIA,KLGA,B738,First: Breakfast / Economy: No meal,16.0,0.0,134.0
4329,AAL1954,,1465778400.0,1465784940.0,KCLT,KLGA,A321,,0.0,12.0,176.0
4330,AAL1740,,1465770900.0,1465777860.0,KCLT,KLGA,A321,,0.0,12.0,176.0
4331,SWA698,,1465767000.0,1465775400.0,KATL,KLGA,B737,,0.0,0.0,143.0
