,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
3669,FIN4087,AAL2527,1465414200.0,1465432200.0,KPHX,KJFK,B738,First: Lunch / Economy: Food for sale,16.0,0.0,134.0
3670,FIN4083,AAL1095,1465425000.0,1465442640.0,KPHX,KJFK,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
3671,KLM5535,DAL2029,1465429800.0,1465437000.0,KDTW,KJFK,,,12.0,0.0,98.0
3672,FIN4085,AAL1319,1465448100.0,1465465560.0,KPHX,KJFK,B738,First: Refreshments / Economy: Food for sale,16.0,0.0,134.0
3673,BER542,AAL106,1465401720.0,1465420200.0,KPHX,KJFK,B738,,16.0,0.0,134.0
3674,AEA3314,DAL4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,Business: Meal / Economy: Meal,0.0,12.0,64.0
3675,BER539,AAL2527,1465414200.0,1465432200.0,KPHX,KJFK,B738,,16.0,0.0,134.0
3676,DLH8170,DLH8171,1465413300.0,1465421400.0,KATL,KJFK,B77L,,0.0,0.0,0.0
3677,BER657,AAL1095,1465425000.0,1465442640.0,KPHX,KJFK,B738,,16.0,0.0,134.0
3678,DAL984,,1465433400.0,1465442220.0,KATL,KJFK,,First: Refreshments / Economy: No meal,12.0,0.0,98.0
3679,BER543,AAL1319,1465448100.0,1465465560.0,KPHX,KJFK,B738,,16.0,0.0,134.0
3680,DAL270,,1465386300.0,1465416120.0,LEMG,KJFK,B763,Business: Lunch / Economy: Lunch,0.0,36.0,172.0
3681,IBE9137,AAL106,1465401720.0,1465420200.0,KPHX,KJFK,B738,,16.0,0.0,134.0
3682,DAL446,,1465420800.0,1465429500.0,KATL,KJFK,B752,First: Dinner / Economy: No meal,22.0,0.0,153.0
3683,IBE9055,AAL1319,1465448100.0,1465465560.0,KPHX,KJFK,B738,,16.0,0.0,134.0
3684,DAL8810,,1465416540.0,1465425900.0,KATL,KJFK,B763,Business: Dinner / Economy: Dinner,0.0,36.0,172.0
3685,AFR3644,DAL270,1465386300.0,1465416120.0,LEMG,KJFK,B763,Business: Lunch / Economy: Lunch,0.0,36.0,172.0
3686,TAM2407,AAL106,1465401720.0,1465420200.0,KPHX,KJFK,B738,,16.0,0.0,134.0
3687,AEA3418,DAL1709,1465407900.0,1465425900.0,KPHX,KJFK,B739,First: Meal / Economy: Meal,20.0,0.0,160.0
3688,KLM6105,DAL270,1465386300.0,1465416120.0,LEMG,KJFK,B763,Business: Lunch / Economy: Lunch,0.0,36.0,172.0
3689,AEA3320,DAL1272,1465390800.0,1465408140.0,KPHX,KJFK,B738,First: Meal / Economy: Meal,16.0,0.0,144.0
3690,KLM7405,DAL1272,1465390800.0,1465408140.0,KPHX,KJFK,B738,First: Food for sale / Economy: Food for sale,16.0,0.0,144.0
3691,KLM5537,DAL1709,1465407900.0,1465425900.0,KPHX,KJFK,B739,First: Food for sale / Economy: Food for sale,20.0,0.0,160.0
3692,AEA3405,DAL270,1465386300.0,1465416120.0,LEMG,KJFK,B763,Business: Meal / Economy: Meal,0.0,36.0,172.0
3693,JBU746,,1465376700.0,1465390800.0,TJPS,KJFK,A320,,0.0,0.0,150.0
3694,AZA3155,DAL1272,1465390800.0,1465408140.0,KPHX,KJFK,B738,,16.0,0.0,144.0
3695,AZA3400,DAL1709,1465407900.0,1465425900.0,KPHX,KJFK,B739,,20.0,0.0,160.0
3696,ETD8325,JBU746,1465376700.0,1465390800.0,TJPS,KJFK,A320,,0.0,0.0,150.0
3697,NAX7015,,1465401300.0,1465430700.0,EGKK,KJFK,B789,Economy: Food for sale,0.0,0.0,270.0
3698,VIR3195,DAL1272,1465390800.0,1465408140.0,KPHX,KJFK,B738,First: Food for sale / Economy: Food for sale,16.0,0.0,144.0
3699,VIR4884,DAL1709,1465407900.0,1465425900.0,KPHX,KJFK,B739,First: Food for sale / Economy: Food for sale,20.0,0.0,160.0
3700,QTR4118,JBU746,1465376700.0,1465390800.0,TJPS,KJFK,A320,,0.0,0.0,150.0
3701,JBU936,,1465433100.0,1465446480.0,MDST,KJFK,A320,,0.0,0.0,150.0
3702,AFR8864,DAL1272,1465390800.0,1465408140.0,KPHX,KJFK,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,144.0
3703,JBU636,,1465425840.0,1465439400.0,MDST,KJFK,A320,,0.0,0.0,150.0
3704,QTR5353,AAL261,1465449000.0,1465468440.0,KSEA,KJFK,B738,First: Refreshments / Economy: Food for sale,16.0,0.0,134.0
3705,ELY8779,JBU136,1465455540.0,1465472880.0,KPHX,KJFK,A320,Economy: No meal,0.0,0.0,150.0
3706,UAE6160,JBU136,1465455540.0,1465472880.0,KPHX,KJFK,A320,,0.0,0.0,150.0
3707,JBU436,,1465418700.0,1465432440.0,MDST,KJFK,A320,,0.0,0.0,150.0
3708,SAA7373,JBU136,1465455540.0,1465472880.0,KPHX,KJFK,A320,,0.0,0.0,150.0
3709,JBU36,,1465377600.0,1465390860.0,MDST,KJFK,A320,,0.0,0.0,150.0
3710,THY8998,JBU136,1465455540.0,1465472880.0,KPHX,KJFK,A320,,0.0,0.0,150.0
3711,QTR4114,JBU136,1465455540.0,1465472880.0,KPHX,KJFK,A320,,0.0,0.0,150.0
3712,ETD8324,JBU136,1465455540.0,1465472880.0,KPHX,KJFK,A320,,0.0,0.0,150.0
