terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
C_and_D,10003,1.62470308789,10.9485795724,1997.39049881,0.0,2105
C_and_D,10005,1.75246132208,13.8875386779,2402.17158931,0.0,711
C_and_D,10006,1.58333333333,14.5116091954,2337.24137931,0.0,348
C_and_D,10007,1.58221680877,13.9236784409,2575.03775883,0.0,821
C_and_D,10009,1.70633693972,10.861251932,1746.33539413,0.0,647
C_and_D,10010,1.61593768724,10.5240263631,1936.62971839,0.0,1669
C_and_D,10011,1.7115902965,11.402690027,2296.93530997,0.0,1855
C_and_D,10012,1.65975103734,11.4699723375,2196.00829876,0.0,723
C_and_D,10013,1.68836805556,12.6487673611,2313.83854167,0.0,1152
C_and_D,10014,1.61835245047,12.2393222106,2413.35140772,0.0,959
C_and_D,10016,1.6847772883,9.81256975037,1641.59275575,0.0,4086
C_and_D,10017,1.66423239208,10.4268451801,1798.92372606,0.0,6162
C_and_D,10018,1.7504091653,10.6209819967,2184.56914894,0.0,2444
C_and_D,10019,1.73827311696,11.0781628904,2451.91720759,0.0,8165
C_and_D,10020,1.63888888889,10.6856018519,2214.7962963,0.0,216
C_and_D,10021,1.68507381083,9.50026790596,1581.10005467,0.0,1829
C_and_D,10022,1.68790023593,10.3014610718,1914.38355241,0.0,5934
C_and_D,10023,1.61746031746,11.0344391534,2266.48835979,0.0,1890
C_and_D,10024,1.74474053296,10.3778681627,1901.52875175,0.0,1426
C_and_D,10025,1.75947409126,9.48235112142,1828.16009281,0.0,1293
C_and_D,10026,1.65359477124,8.19287581699,1332.58169935,0.0,153
C_and_D,10027,1.56849315068,8.37205479452,1647.73630137,0.0,292
C_and_D,10028,1.60636306925,8.98541484716,1342.59326263,0.0,1603
C_and_D,10029,1.58776595745,8.24856382979,1415.99468085,0.0,376
C_and_D,10030,1.39473684211,8.06578947368,1282.31578947,0.0,38
C_and_D,10031,1.925,8.968875,1453.225,0.0,80
C_and_D,10032,1.4693877551,10.0248979592,1632.53061224,0.0,49
C_and_D,10033,1.52941176471,10.3370588235,1742.64705882,0.0,17
C_and_D,10034,1.0,11.75875,2079.375,0.0,8
C_and_D,10035,1.0,7.485,801.666666667,0.0,6
C_and_D,10036,1.7871610024,11.2657260556,2264.34603502,0.0,5826
C_and_D,10037,1.58333333333,7.76416666667,1156.54166667,0.0,24
C_and_D,10038,1.66779661017,13.5040169492,2347.83220339,0.0,590
C_and_D,10039,2.85714285714,10.0128571429,1517.85714286,0.0,7
C_and_D,10040,1.5,11.5,1454.0,0.0,4
C_and_D,10041,1.72413793103,14.3293103448,2477.72413793,0.0,29
C_and_D,10043,1.0,14.2133333333,2141.33333333,0.0,3
C_and_D,10044,2.0,6.48,1200.25,0.0,8
C_and_D,10045,1.66666666667,13.7877777778,2159.22222222,0.0,9
C_and_D,10047,3.0,9.98,1319.0,0.0,1
C_and_D,10048,1.52475247525,14.1033663366,2261.57425743,0.0,101
C_and_D,10055,1.5,10.353,1767.5,0.0,10
C_and_D,10065,1.62440570523,9.78905441099,1692.42313788,0.0,1893
C_and_D,10069,1.43902439024,11.3488617886,1964.72357724,0.0,123
C_and_D,10075,1.71008939974,9.18638569604,1385.22349936,0.0,783
C_and_D,10096,1.28571428571,11.0914285714,2271.14285714,0.0,14
C_and_D,10097,1.66666666667,11.3066666667,2185.81481481,0.0,27
C_and_D,10103,1.52631578947,10.8578947368,2451.26315789,0.0,19
C_and_D,10104,1.81538461538,10.8041538462,2191.15384615,0.0,65
C_and_D,10105,1.75757575758,11.0118181818,2199.37878788,0.0,66
C_and_D,10106,2.08,10.9792,2319.28,0.0,25
